"","Kingdom","phyla","class","family","genus","species","unique"
"Desulfobaculum","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfobaculum","Desulfobaculum"
"Pelobacter","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Pelobacter","Pelobacter"
"Geopsychrobacter","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geopsychrobacter","Geopsychrobacter"
"Anaeromyxobacter","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Anaeromyxobacter","Anaeromyxobacter"
"Haliangium","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","Haliangium"
"Labilithrix","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Labilitrichaceae","Labilithrix","Labilithrix"
"Aggregicoccus","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Aggregicoccus","Aggregicoccus"
"Pyxidicoccus","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Pyxidicoccus","Pyxidicoccus"
"Enhygromyxa","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Enhygromyxa","Enhygromyxa"
"Nannocystis","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis","Nannocystis"
"Plesiocystis","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Plesiocystis","Plesiocystis"
"Phaselicystis","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis","Phaselicystis"
"Jahnella","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Jahnella","Jahnella"
"Minicystis","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Minicystis","Minicystis"
"Sorangium","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Sorangium","Sorangium"
"Sandaracinus","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus","Sandaracinus"
"Desulfobacca","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Desulfobacca","Desulfobacca"
"Desulfomonile","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Desulfomonile","Desulfomonile"
"Smithella","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Smithella","Smithella"
"Desulfoglaeba","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","Desulfoglaeba","Desulfoglaeba"
"Desulfovirga","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","Desulfovirga","Desulfovirga"
"Thermodesulforhabdus","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","Thermodesulforhabdus","Thermodesulforhabdus"
"Arcobacter","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter","Arcobacter"
"Sulfurovum","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurovum","Sulfurovum"
"Wolinella","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Wolinella","Wolinella"
"Nitratiruptor","Bacteria","Proteobacteria","Epsilonproteobacteria","Nautiliales","Nautiliaceae","Nitratiruptor","Nitratiruptor"
"Succinatimonas","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinatimonas","Succinatimonas"
"Aestuariibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter","Aestuariibacter"
"Agarivorans","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agarivorans","Agarivorans"
"Aliiglaciecola","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aliiglaciecola","Aliiglaciecola"
"Alteromonas","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas"
"Bowmanella","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Bowmanella","Bowmanella"
"Chromatocurvus","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Chromatocurvus","Chromatocurvus"
"Haliea","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Haliea","Haliea"
"Marinobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter","Marinobacter"
"Paraglaciecola","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola","Paraglaciecola"
"Saccharophagus","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Saccharophagus","Saccharophagus"
"Maricurvus","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadales_incertae_sedis","Maricurvus","Maricurvus"
"Pseudoteredinibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadales_incertae_sedis","Pseudoteredinibacter","Pseudoteredinibacter"
"Psychrobium","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadales_incertae_sedis","Psychrobium","Psychrobium"
"Teredinibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadales_incertae_sedis","Teredinibacter","Teredinibacter"
"Colwellia","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","Colwellia"
"Thalassomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassomonas","Thalassomonas"
"Thalassotalea","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea","Thalassotalea"
"Echinimonas","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Echinimonas","Echinimonas","Echinimonas"
"Idiomarina","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Idiomarina","Idiomarina"
"Algicola","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Algicola","Algicola"
"Pseudoalteromonas","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas"
"Psychrosphaera","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Psychrosphaera","Psychrosphaera"
"Shewanella","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella"
"Arenicella","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella","Arenicella"
"Perspicuibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Perspicuibacter","Perspicuibacter"
"Nitrosococcus","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Nitrosococcus","Nitrosococcus"
"Rhabdochromatium","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Rhabdochromatium","Rhabdochromatium"
"Rheinheimera","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Rheinheimera","Rheinheimera"
"Thiohalobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiohalobacter","Thiohalobacter"
"Alkalispirillum","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Alkalispirillum","Alkalispirillum"
"Arhodomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Arhodomonas","Arhodomonas"
"Ectothiorhodosinus","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Ectothiorhodosinus","Ectothiorhodosinus"
"Oceanococcus","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Oceanococcus","Oceanococcus"
"Spiribacter","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Spiribacter","Spiribacter"
"Thioalbus","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Thioalbus","Thioalbus"
"Thiogranum","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Thiogranum","Thiogranum"
"Thiohalomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Thiohalomonas","Thiohalomonas"
"Thiorhodospira","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Thiorhodospira","Thiorhodospira"
"Thiohalophilus","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Thioalkalispiraceae","Thiohalophilus","Thiohalophilus"
"Thioprofundum","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Thioalkalispiraceae","Thioprofundum","Thioprofundum"
"Ewingella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Ewingella","Ewingella"
"Klebsiella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella","Klebsiella"
"Candidatus Carsonella","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Candidatus Carsonella","Candidatus Carsonella","Candidatus Carsonella"
"Cocleimonas","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Cocleimonas","Cocleimonas","Cocleimonas"
"Eionea","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Eionea","Eionea","Eionea"
"Halioglobus","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Halioglobus","Halioglobus","Halioglobus"
"Litorivivens","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Litorivivens","Litorivivens","Litorivivens"
"Marinicella","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Marinicella","Marinicella","Marinicella"
"Methylohalomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Methylohalomonas","Methylohalomonas","Methylohalomonas"
"Methylonatrum","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Methylonatrum","Methylonatrum","Methylonatrum"
"Plasticicumulans","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Plasticicumulans","Plasticicumulans","Plasticicumulans"
"Pleionea","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Pleionea","Pleionea","Pleionea"
"Porticoccus","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Porticoccus","Porticoccus","Porticoccus"
"Pseudohaliea","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Pseudohaliea","Pseudohaliea","Pseudohaliea"
"Sedimenticola","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Sedimenticola","Sedimenticola","Sedimenticola"
"Simiduia","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Simiduia","Simiduia","Simiduia"
"Spongiibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Spongiibacter","Spongiibacter","Spongiibacter"
"Thiolapillus","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Thiolapillus","Thiolapillus","Thiolapillus"
"Umboniibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Umboniibacter","Umboniibacter","Umboniibacter"
"Aquicella","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","Aquicella"
"Coxiella","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Coxiella","Coxiella"
"Legionella","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Legionella"
"Methylococcus","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylococcus","Methylococcus"
"Methylogaea","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylogaea","Methylogaea"
"Methylohalobius","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylohalobius","Methylohalobius"
"Methyloparacoccus","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methyloparacoccus","Methyloparacoccus"
"Methylosphaera","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylosphaera","Methylosphaera"
"Alcanivorax","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","Alcanivorax"
"Kangiella","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Kangiella","Kangiella"
"Endozoicomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Endozoicomonas","Endozoicomonas"
"Zooshikella","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Zooshikella","Zooshikella"
"Litoricola","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","Litoricola"
"Amphritea","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Amphritea","Amphritea"
"Balneatrix","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Balneatrix","Balneatrix"
"Bermanella","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Bermanella","Bermanella"
"Corallomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Corallomonas","Corallomonas"
"Litoribacillus","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Litoribacillus","Litoribacillus"
"Litoribrevibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Litoribrevibacter","Litoribrevibacter"
"Marinobacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinobacterium","Marinobacterium"
"Marinomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","Marinomonas"
"Motiliproteus","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Motiliproteus","Motiliproteus"
"Neptuniibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptuniibacter","Neptuniibacter"
"Neptunomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptunomonas","Neptunomonas"
"Nitrincola","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Nitrincola","Nitrincola"
"Oceaniserpentilla","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceaniserpentilla","Oceaniserpentilla"
"Oceanospirillum","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oceanospirillum","Oceanospirillum"
"Oleispira","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oleispira","Oleispira"
"Sinobacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Sinobacterium","Sinobacterium"
"Spongiispira","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Spongiispira","Spongiispira"
"Thalassolituus","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Thalassolituus","Thalassolituus"
"Gynuella","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillales_incertae_sedis","Gynuella","Gynuella"
"Pseudohongiella","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillales_incertae_sedis","Pseudohongiella","Pseudohongiella"
"Oleiphilus","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oleiphilaceae","Oleiphilus","Oleiphilus"
"Saccharospirillum","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Saccharospirillum","Saccharospirillum"
"Salinispirillum","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Salinispirillum","Salinispirillum"
"Acinetobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter"
"Enhydrobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter","Enhydrobacter"
"Faucicola","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Faucicola","Faucicola"
"Perlucidibaca","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Perlucidibaca","Perlucidibaca"
"Pseudomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"Serpens","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Serpens","Serpens"
"Thiopseudomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Thiopseudomonas","Thiopseudomonas"
"Dasania","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadales_incertae_sedis","Dasania","Dasania"
"Salinisphaera","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","Salinisphaera","Salinisphaera"
"Francisella","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Francisellaceae","Francisella","Francisella"
"Galenea","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Galenea","Galenea"
"Methylophaga","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga","Methylophaga"
"Beggiatoa","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Beggiatoa","Beggiatoa"
"Leucothrix","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix","Leucothrix"
"Thiothrix","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix","Thiothrix"
"Fangia","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichales_incertae_sedis","Fangia","Fangia"
"Enterovibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Enterovibrio","Enterovibrio"
"Lucibacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Lucibacterium","Lucibacterium"
"Photobacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Photobacterium"
"Vibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio"
"Povalibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Povalibacter","Povalibacter"
"Steroidobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","Steroidobacter"
"Chiayiivirga","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Chiayiivirga","Chiayiivirga"
"Mizugakiibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Mizugakiibacter","Mizugakiibacter"
"Silanimonas","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Silanimonas","Silanimonas"
"Stenotrophomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas"
"Oligoflexus","Bacteria","Proteobacteria","Oligoflexia","Oligoflexales","Oligoflexaceae","Oligoflexus","Oligoflexus"
"Brevinema","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Brevinemataceae","Brevinema","Brevinema"
"Leptonema","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Leptospiraceae","Leptonema","Leptonema"
"Aminomonas","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Aminomonas","Aminomonas"
"Mycoplasma","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma"
"Mesoaciditoga","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Mesoaciditoga","Mesoaciditoga"
"Opitutus","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus","Opitutus"
"Cerasicoccus","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Cerasicoccus","Cerasicoccus"
"Coraliomargarita","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Coraliomargarita","Coraliomargarita"
"Pelagicoccus","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Pelagicoccus","Pelagicoccus"
"Puniceicoccus","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Puniceicoccus","Puniceicoccus"
"Spartobacteria_genera_incertae_sedis","Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteria_genera_incertae_sedis","Spartobacteria_genera_incertae_sedis","Spartobacteria_genera_incertae_sedis","Spartobacteria_genera_incertae_sedis"
"Terrimicrobium","Bacteria","Verrucomicrobia","Spartobacteria","Terrimicrobium","Terrimicrobium","Terrimicrobium","Terrimicrobium"
"Limisphaera","Bacteria","Verrucomicrobia","Subdivision3","Limisphaera","Limisphaera","Limisphaera","Limisphaera"
"Subdivision3_genera_incertae_sedis","Bacteria","Verrucomicrobia","Subdivision3","Subdivision3_genera_incertae_sedis","Subdivision3_genera_incertae_sedis","Subdivision3_genera_incertae_sedis","Subdivision3_genera_incertae_sedis"
"Rubritalea","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Rubritalea","Rubritalea"
"Brevifollis","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Brevifollis","Brevifollis"
"Haloferula","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Haloferula","Haloferula"
"Luteolibacter","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter","Luteolibacter"
"Persicirhabdus","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Persicirhabdus","Persicirhabdus"
"Prosthecobacter","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter","Prosthecobacter"
"Roseibacillus","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseibacillus","Roseibacillus"
"Verrucomicrobium","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium","Verrucomicrobium"
